,book_title,author,num_ratings,average_rating,5_star_reviews
327,The Color Purple,Alice Walker,689548,4.27,338650
328,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,756037,4.19,337859
329,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,755875,4.19,337785
330,La sombra del viento,Carlos Ruiz Zafón,639595,4.30,337338
331,The Shadow of the Wind,Carlos Ruiz Zafón,639421,4.30,337227
332,The Poisonwood Bible,Barbara Kingsolver,746145,4.10,337098
333,The Four Winds,Kristin Hannah,682871,4.30,336757
334,Catch-22,Joseph Heller,833366,3.99,336112
335,Malibu Rising,Taylor Jenkins Reid,1033017,4.04,335370
336,A Time to Kill,John Grisham,802497,4.11,334234
337,A Tale of Two Cities,Charles Dickens,950332,3.87,333312
338,The Son of Neptune,Rick Riordan,594906,4.41,332866
339,The Girl Who Kicked the Hornet’s Nest,Stieg Larsson,737205,4.24,332493
340,A Court of Frost and Starlight,Sarah J. Maas,1220947,3.77,329698
341,A Court of Frost and Starlight,Sarah J. Maas,1220645,3.77,329626
342,Before We Were Yours,Lisa Wingate,612931,4.40,328652
343,The Chronicles of Narnia,C.S. Lewis,653742,4.27,328008
344,Clockwork Prince,Cassandra Clare,554028,4.42,327792
345,People We Meet on Vacation,Emily Henry,1153388,3.88,327528
346,Watchmen,Alan Moore,559822,4.38,325251
347,One Flew Over the Cuckoo’s Nest,Ken Kesey,734678,4.20,325153
348,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,605292,4.31,323785
349,Siddhartha,Hermann Hesse,775517,4.07,323631
350,East of Eden,John Steinbeck,542045,4.41,322148
351,milk and honey,Rupi Kaur,731565,3.98,321585
352,Misery,Stephen King,703266,4.21,321182
353,Misery,Stephen King,703073,4.21,321095
354,If I Stay,Gayle Forman,909838,3.92,317775
355,Heartstopper: Volume Two,Alice Oseman,492196,4.54,317204
356,Beautiful Disaster,Jamie McGuire,685057,4.01,316761
357,The One,Kiera Cass,691401,4.15,315837
358,The Immortal Life of Henrietta Lacks,Rebecca Skloot,738462,4.12,314668
359,We Were Liars,E. Lockhart,1152927,3.67,313656
360,Persuasion,Jane Austen,705734,4.15,313018
361,A Feast for Crows,George R.R. Martin,733800,4.16,312588
362,Diary of a Wimpy Kid 1,Jeff Kinney,697917,3.98,311194
363,Diary of a Wimpy Kid,Jeff Kinney,697772,3.98,311130
364,Flowers for Algernon,Daniel Keyes,676219,4.21,311023
365,The Adventures of Tom Sawyer,Mark Twain,940014,3.92,310743
366,American Dirt,Jeanine Cummins,577496,4.37,309645
367,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,853477,4.01,309641
368,Room,Emma Donoghue,805621,4.08,308499
369,Room,Emma Donoghue,805527,4.08,308462
370,Clockwork Princess,Cassandra Clare,446581,4.56,308131
371,The Very Hungry Caterpillar,Eric Carle,512184,4.33,307009
372,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,800820,4.06,306216
373,Bridget Jones’s Diary,Helen Fielding,985006,3.80,302992
374,Rebecca,Daphne du Maurier,632878,4.24,302041
375,Rebecca,Daphne du Maurier,632672,4.24,301948
376,The Inheritance Games,Jennifer Lynn Barnes,728253,4.16,301630
377,Ignite Me,Tahereh Mafi,484933,4.47,301434
378,The Inheritance Games,Jennifer Lynn Barnes,727518,4.16,301392
379,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,816353,4.00,301289
380,A Gentleman in Moscow,Amor Towles,550907,4.33,300963
381,Vampire Academy,Richelle Mead,646316,4.11,299031
382,Lolita,Vladimir Nabokov,854223,3.88,297538
383,Macbeth,William Shakespeare,903785,3.89,296966
384,House of Sky and Breath,Sarah J. Maas,476012,4.50,296591
385,Hopeless,Colleen Hoover,577288,4.25,296507
386,Hopeless,Colleen Hoover,577054,4.25,296405
387,"Hush, Hush",Becca Fitzpatrick,706812,3.93,294164
388,From Blood and Ash,Jennifer L. Armentrout,582565,4.23,292102
389,Shatter Me,Tahereh Mafi,899614,3.86,291863
390,Shatter Me,Tahereh Mafi,899308,3.86,291788
391,Heartstopper: Volume Three,Alice Oseman,435135,4.57,289770
392,Coraline,Neil Gaiman,696966,4.12,289750
393,The Red Tent,Anita Diamant,600531,4.20,288716
394,Allegiant,Veronica Roth,1057549,3.60,288153
395,Shadow and Bone,Leigh Bardugo,966269,3.93,287661
396,"Rich Dad, Poor Dad",Robert T. Kiyosaki,624455,4.12,286272
397,Happy Place,Emily Henry,834391,4.01,286006
398,Fangirl,Rainbow Rowell,747375,3.95,284889
399,Words of Radiance,Brandon Sanderson,355368,4.76,283791
400,Anxious People,Fredrik Backman,641014,4.18,283118
401,Anxious People,Fredrik Backman,641001,4.18,283113
402,11.22.63,Stephen King,544509,4.34,282352
403,11/22/63,Stephen King,544401,4.34,282287
404,The Cat in the Hat,Dr. Seuss,542964,4.19,281339
405,The Vanishing Half,Brit Bennett,759315,4.15,281289
406,Me Talk Pretty One Day,David Sedaris,700057,4.01,278697
407,The House of Hades,Rick Riordan,418060,4.57,277881
408,The Hero of Ages,Brandon Sanderson,432923,4.54,277563
409,Love and Other Words,Christina Lauren,581720,4.27,277330
410,The Five People You Meet in Heaven,Mitch Albom,723390,3.99,276629
411,The Elite,Kiera Cass,776406,3.95,276264
412,I Know Why the Caged Bird Sings,Maya Angelou,533325,4.29,276116
413,Angela’s Ashes,Frank McCourt,630788,4.15,273717
414,The Firm,John Grisham,717510,4.08,271619
415,The Firm,John Grisham,717464,4.08,271598
416,The Silence of the Lambs,Thomas  Harris,550218,4.24,271499
417,In Cold Blood,Truman Capote,662745,4.09,270698
418,The Devil Wears Prada,Lauren Weisberger,891348,3.80,269902
419,Harry Potter and the Cursed Child. Parts One and Two,J.K. Rowling,1025762,3.49,268750
420,Harry Potter and the Cursed Child: Parts One and Two,J.K. Rowling,1025649,3.49,268726
421,A Clockwork Orange,Anthony Burgess,714726,4.00,266960
422,A Clockwork Orange,Anthony Burgess,714623,4.00,266924
423,Demon Copperhead,Barbara Kingsolver,419750,4.51,266339
424,The Assassin's Blade,Sarah J. Maas,612463,4.24,265858
425,The Assassin's Blade,Sarah J. Maas,611372,4.24,265445
426,Heartstopper: Volume Four,Alice Oseman,382455,4.61,264571
427,Heartstopper: Volume Four,Alice Oseman,382366,4.61,264511
428,The Shack,William Paul Young,653557,3.83,264300
429,The Shack,William Paul Young,653556,3.83,264300
430,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,578416,4.15,264248
431,One of Us Is Lying,Karen M. McManus,856936,3.94,263762
432,One of Us Is Lying,Karen M. McManus,856923,3.94,263756
433,One of Us Is Lying,Karen M. McManus,856578,3.94,263657
434,Fight Club,Chuck Palahniuk,594398,4.19,262899
435,Fight Club,Chuck Palahniuk,594274,4.19,262855
436,Tower of Dawn,Sarah J. Maas,552663,4.27,261458
437,Middlesex,Jeffrey Eugenides,640270,4.03,261154
438,Tower of Dawn,Sarah J. Maas,551874,4.27,261082
