genre,genre_id
"Fiction, Magical Realism, Humor, Literature, Fantasy, Contemporary, Novels",265
"Fiction, Historical Fiction, Romance, Classics, Historical, Historical Romance, Novels",266
"Historical Fiction, Fiction, Historical, Italy, Roman, Ancient History, Ancient",267
"Fiction, Contemporary, Inspirational, Fantasy, Classics, Spirituality, Adult",268
"Nonfiction, War, History, Memoir, Military Fiction, Biography, Biography Memoir",269
"Fiction, War, Historical Fiction, Classics, Literature, Novels, Historical",270
"Fiction, Mystery, Historical Fiction, War, Literature, Mystery Thriller, Novels",271
"Romance, Fiction, Chick Lit, Contemporary, Adult, Adult Fiction, Contemporary Romance",272
"Romance, Fiction, Chick Lit, Contemporary, Adult, Contemporary Romance, Mystery",273
"Nonfiction, Memoir, Biography, Travel, Romance, Biography Memoir, Autobiography",274
"Young Adult, Dystopia, Fantasy, Fiction, Science Fiction, Middle Grade, Post Apocalyptic",275
"Romance, Fiction, Contemporary, Young Adult, Chick Lit, Adult, Contemporary Romance",276
"Fiction, Historical Fiction, Adult Fiction, Coming Of Age, Contemporary, Novels, Chick Lit",277
"Fiction, Mystery, Contemporary, Literary Fiction, Novels, Young Adult, Coming Of Age",278
"Mystery, Fiction, Humor, Chick Lit, Romance, Crime, Comedy",279
"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Middle Grade, Canada",280
"Classics, Fiction, Young Adult, Historical Fiction, Romance, Historical, Canada",281
"Classics, Fiction, Young Adult, Childrens, Historical Fiction, Romance, Middle Grade",282
"Classics, Mystery, Fiction, Short Stories, Crime, Detective, Mystery Thriller",283
"Classics, Mystery, Fiction, Short Stories, Crime, Detective, Literature",284
"Mystery, Fiction, Short Stories, Crime, Classics, Detective, Mystery Thriller",285
"Young Adult, Fiction, Classics, Dystopia, Science Fiction, Fantasy, School",286
"Fiction, Contemporary, Novels, Literary Fiction, New York, Book Club, American",287
"Fiction, Ireland, Irish Literature, Literary Fiction, Literature, Contemporary, Novels",288
"Fiction, Ireland, Mystery, Irish Literature, Literature, Literary Fiction, Novels",289
"Classics, Fiction, Italy, British Literature, 20th Century, Historical Fiction, Novels",290
"Fiction, Contemporary, Novels, Literary Fiction, Literature, British Literature, Adult Fiction",291
"Fantasy, Young Adult, Historical Fiction, Fiction, Historical, Paranormal, Romance",292
"Classics, Fiction, Childrens, Animals, Young Adult, Horses, Historical Fiction",293
