,book_title,author,num_ratings,average_rating,5_star_reviews,book_author
148,The Love Hypothesis,Ali Hazelwood,1407522,4.15,613182,The Love Hypothesis - Ali Hazelwood
149,The Maze Runner,James Dashner,1535653,4.05,607108,The Maze Runner - James Dashner
150,The Two Towers,J.R.R. Tolkien,975888,4.48,605116,The Two Towers - J.R.R. Tolkien
151,The Two Towers,J.R.R. Tolkien,975759,4.48,605025,The Two Towers - J.R.R. Tolkien
152,The Two Towers,J.R.R. Tolkien,975635,4.48,604948,The Two Towers - J.R.R. Tolkien
153,Steve Jobs,Walter Isaacson,1250263,4.16,599128,Steve Jobs - Walter Isaacson
154,New Moon,Stephenie Meyer,1934445,3.60,595739,New Moon - Stephenie Meyer
155,Six of Crows,Leigh Bardugo,958968,4.48,592558,Six of Crows - Leigh Bardugo
156,Six of Crows,Leigh Bardugo,958947,4.48,592550,Six of Crows - Leigh Bardugo
157,Six of Crows,Leigh Bardugo,958735,4.48,592437,Six of Crows - Leigh Bardugo
158,Six of Crows,Leigh Bardugo,958701,4.48,592416,Six of Crows - Leigh Bardugo
159,Six of Crows,Leigh Bardugo,958474,4.48,592300,Six of Crows - Leigh Bardugo
160,Outlander,Diana Gabaldon,1058656,4.26,587505,Outlander - Diana Gabaldon
161,Slaughterhouse-Five,Kurt Vonnegut Jr.,1374216,4.10,587246,Slaughterhouse-Five - Kurt Vonnegut Jr.
162,The Outsiders,S.E. Hinton,1349057,4.13,585227,The Outsiders - S.E. Hinton
163,Sapiens: A Brief History of Humankind,Yuval Noah Harari,1038356,4.36,583991,Sapiens: A Brief History of Humankind - Yuval Noah Harari
164,Ready Player One,Ernest Cline,1174520,4.23,581761,Ready Player One - Ernest Cline
165,I'm Glad My Mom Died,Jennette McCurdy,1007222,4.46,581013,I'm Glad My Mom Died - Jennette McCurdy
166,Life of Pi,Yann Martel,1630226,3.94,579175,Life of Pi - Yann Martel
167,A Man Called Ove,Fredrik Backman,1040090,4.38,577021,A Man Called Ove - Fredrik Backman
168,It,Stephen King,1118333,4.24,570056,It - Stephen King
169,It,Stephen King,1117963,4.24,569888,It - Stephen King
170,Eleanor Oliphant Is Completely Fine,Gail Honeyman,1237332,4.24,565027,Eleanor Oliphant Is Completely Fine - Gail Honeyman
171,Eleanor Oliphant Is Completely Fine,Gail Honeyman,1237047,4.24,564912,Eleanor Oliphant Is Completely Fine - Gail Honeyman
172,The Housemaid,Freida McFadden,1139650,4.33,563248,The Housemaid - Freida McFadden
173,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,937604,4.38,560689,"Unbroken: A World War II Story of Survival, Resilience and Redemption - Laura Hillenbrand"
174,The Titan’s Curse,Rick Riordan,1065322,4.37,560168,The Titan’s Curse - Rick Riordan
175,Where the Wild Things Are,Maurice Sendak,1006611,4.24,553077,Where the Wild Things Are - Maurice Sendak
176,Queen of Shadows,Sarah J. Maas,804312,4.61,552990,Queen of Shadows - Sarah J. Maas
177,Queen of Shadows,Sarah J. Maas,804023,4.61,552784,Queen of Shadows - Sarah J. Maas
178,The Hate U Give,Angie Thomas,904199,4.47,548857,The Hate U Give - Angie Thomas
179,A Good Girl's Guide to Murder,Holly  Jackson,1082853,4.33,543319,A Good Girl's Guide to Murder - Holly  Jackson
180,A Good Girl's Guide to Murder,Holly  Jackson,1082414,4.33,543111,A Good Girl's Guide to Murder - Holly  Jackson
181,The Sea of Monsters,Rick Riordan,1183446,4.24,541087,The Sea of Monsters - Rick Riordan
182,The Sea of Monsters,Rick Riordan,1183191,4.24,540971,The Sea of Monsters - Rick Riordan
183,Insurgent,Veronica Roth,1505348,3.97,538844,Insurgent - Veronica Roth
184,Anne of Green Gables,L.M. Montgomery,984888,4.31,536597,Anne of Green Gables - L.M. Montgomery
185,Crown of Midnight,Sarah J. Maas,1048564,4.36,535688,Crown of Midnight - Sarah J. Maas
186,Crown of Midnight,Sarah J. Maas,1048041,4.36,535422,Crown of Midnight - Sarah J. Maas
187,Heir of Fire,Sarah J. Maas,910035,4.46,533516,Heir of Fire - Sarah J. Maas
188,Heir of Fire,Sarah J. Maas,909748,4.46,533362,Heir of Fire - Sarah J. Maas
189,Iron Flame,Rebecca Yarros,1009214,4.35,532791,Iron Flame - Rebecca Yarros
190,Frankenstein,Mary Wollstonecraft Shelley,1609504,3.87,519782,Frankenstein - Mary Wollstonecraft Shelley
191,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,1609182,3.87,519649,Frankenstein: The 1818 Text - Mary Wollstonecraft Shelley
192,The Secret Garden,Frances Hodgson Burnett,1177354,4.16,519358,The Secret Garden - Frances Hodgson Burnett
193,"Eat, Pray, Love",Elizabeth Gilbert,1748708,3.63,518934,"Eat, Pray, Love - Elizabeth Gilbert"
194,The Secret Life of Bees,Sue Monk Kidd,1294631,4.09,516289,The Secret Life of Bees - Sue Monk Kidd
195,Matilda,Roald Dahl,957443,4.34,515751,Matilda - Roald Dahl
196,A Clash of Kings,George R.R. Martin,938977,4.42,510672,A Clash of Kings - George R.R. Martin
197,A Storm of Swords,George R.R. Martin,786952,4.54,505236,A Storm of Swords - George R.R. Martin
198,My Sister’s Keeper,Jodi Picoult,1221490,4.10,504884,My Sister’s Keeper - Jodi Picoult
199,The Invisible Life of Addie LaRue,V.E.  Schwab,1087572,4.19,504486,The Invisible Life of Addie LaRue - V.E.  Schwab
200,The Invisible Life of Addie LaRue,V.E.  Schwab,1087448,4.19,504427,The Invisible Life of Addie LaRue - V.E.  Schwab
201,The Invisible Life of Addie LaRue,V.E.  Schwab,1086821,4.19,504177,The Invisible Life of Addie LaRue - V.E.  Schwab
202,How to Win Friends and Influence People,Dale Carnegie,988503,4.22,501763,How to Win Friends and Influence People - Dale Carnegie
203,City of Glass,Cassandra Clare,964515,4.28,497037,City of Glass - Cassandra Clare
204,Circe,Madeline Miller,1068330,4.24,495581,Circe - Madeline Miller
205,Circe,Madeline Miller,1067825,4.24,495384,Circe - Madeline Miller
206,November 9,Colleen Hoover,1094213,4.14,493193,November 9 - Colleen Hoover
207,The Count of Monte Cristo,Alexandre Dumas,917987,4.30,492080,The Count of Monte Cristo - Alexandre Dumas
208,Sense and Sensibility,Jane Austen,1194915,4.08,487961,Sense and Sensibility - Jane Austen
209,Big Little Lies,Liane Moriarty,1011205,4.31,486329,Big Little Lies - Liane Moriarty
210,Tuesdays with Morrie,Mitch Albom,1033961,4.17,483116,Tuesdays with Morrie - Mitch Albom
211,The Tattooist of Auschwitz,Heather   Morris,946104,4.30,483069,The Tattooist of Auschwitz - Heather   Morris
212,Empire of Storms,Sarah J. Maas,682336,4.62,482414,Empire of Storms - Sarah J. Maas
213,Empire of Storms,Sarah J. Maas,681416,4.62,481754,Empire of Storms - Sarah J. Maas
214,Empire of Storms,Sarah J. Maas,681219,4.62,481607,Empire of Storms - Sarah J. Maas
215,One Hundred Years of Solitude,Gabriel García Márquez,976523,4.11,480125,One Hundred Years of Solitude - Gabriel García Márquez
216,Dracula,Bram Stoker,1281618,4.01,479888,Dracula - Bram Stoker
217,A Wrinkle in Time,Madeleine L'Engle,1206488,3.98,479811,A Wrinkle in Time - Madeleine L'Engle
218,It Starts with Us,Colleen Hoover,1472132,3.87,476330,It Starts with Us - Colleen Hoover
219,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,889618,4.35,475989,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones - James Clear
220,Crime and Punishment,Fyodor Dostoevsky,910658,4.27,475706,Crime and Punishment - Fyodor Dostoevsky
221,El príncipe cruel,Holly Black,1241823,4.04,474441,El príncipe cruel - Holly Black
222,The Cruel Prince,Holly Black,1241725,4.04,474404,The Cruel Prince - Holly Black
223,The Cruel Prince,Holly Black,1240712,4.04,474080,The Cruel Prince - Holly Black
224,The Princess Bride,William Goldman,902208,4.27,470965,The Princess Bride - William Goldman
225,The Lord of the Rings,J.R.R. Tolkien,679033,4.53,456514,The Lord of the Rings - J.R.R. Tolkien
226,The Lord of the Rings,J.R.R. Tolkien,678852,4.53,456379,The Lord of the Rings - J.R.R. Tolkien
227,The Great Alone,Kristin Hannah,799631,4.42,454097,The Great Alone - Kristin Hannah
228,The Curious Incident of the Dog in the Night-Time,Mark Haddon,1484352,3.89,452347,The Curious Incident of the Dog in the Night-Time - Mark Haddon
229,Holes,Louis Sachar,1206872,4.00,449792,Holes - Louis Sachar
230,Clockwork Angel,Cassandra Clare,832799,4.31,449148,Clockwork Angel - Cassandra Clare
231,Green Eggs and Ham,Dr. Seuss,779112,4.31,446778,Green Eggs and Ham - Dr. Seuss
232,Heartstopper: Volume One,Alice Oseman,728939,4.47,445520,Heartstopper: Volume One - Alice Oseman
233,Heartstopper: Volume One,Alice Oseman,728738,4.47,445424,Heartstopper: Volume One - Alice Oseman
234,Heartstopper: Volume One,Alice Oseman,728526,4.47,445306,Heartstopper: Volume One - Alice Oseman
235,Eleanor & Park,Rainbow Rowell,1175752,3.94,442376,Eleanor & Park - Rainbow Rowell
236,Crooked Kingdom,Leigh Bardugo,646217,4.59,438982,Crooked Kingdom - Leigh Bardugo
237,Crooked Kingdom,Leigh Bardugo,646158,4.59,438940,Crooked Kingdom - Leigh Bardugo
238,Crooked Kingdom,Leigh Bardugo,645918,4.59,438806,Crooked Kingdom - Leigh Bardugo
239,Born a Crime: Stories From a South African Childhood,Trevor Noah,699423,4.49,435571,Born a Crime: Stories From a South African Childhood - Trevor Noah
240,Kingdom of Ash,Sarah J. Maas,566523,4.69,434600,Kingdom of Ash - Sarah J. Maas
241,Kingdom of Ash,Sarah J. Maas,566434,4.69,434538,Kingdom of Ash - Sarah J. Maas
242,The Lost Hero,Rick Riordan,851457,4.30,434432,The Lost Hero - Rick Riordan
243,House of Earth and Blood,Sarah J. Maas,695835,4.49,433973,House of Earth and Blood - Sarah J. Maas
244,Book Lovers,Emily Henry,1077565,4.14,433156,Book Lovers - Emily Henry
245,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1267047,3.92,432225,Miss Peregrine's Home for Peculiar Children - Ransom Riggs
246,Normal People,Sally Rooney,1407038,3.81,427895,Normal People - Sally Rooney
247,Normal People,Sally Rooney,1406387,3.81,427710,Normal People - Sally Rooney
248,The Pillars of the Earth,Ken Follett,766707,4.34,427630,The Pillars of the Earth - Ken Follett
249,The Stand,Stephen King,763943,4.35,426393,The Stand - Stephen King
250,"Red, White & Royal Blue",Casey McQuiston,1002054,4.09,424612,"Red, White & Royal Blue - Casey McQuiston"
251,The Final Empire,Brandon Sanderson,700491,4.48,423594,The Final Empire - Brandon Sanderson
252,The Final Empire,Brandon Sanderson,700054,4.48,423308,The Final Empire - Brandon Sanderson
253,The Girl Who Played with Fire,Stieg Larsson,925794,4.25,418951,The Girl Who Played with Fire - Stieg Larsson
254,Cinder,Marissa Meyer,929290,4.13,410693,Cinder - Marissa Meyer
255,Cinder,Marissa Meyer,929022,4.13,410591,Cinder - Marissa Meyer
256,Little Fires Everywhere,Celeste Ng,1182917,4.08,409139,Little Fires Everywhere - Celeste Ng
257,Little Fires Everywhere,Celeste Ng,1182721,4.08,409072,Little Fires Everywhere - Celeste Ng
258,Into the Wild,Jon Krakauer,1094786,4.01,408680,Into the Wild - Jon Krakauer
259,The Stranger,Albert Camus,1106379,4.02,408373,The Stranger - Albert Camus
260,Man’s Search for Meaning,Viktor E. Frankl,720898,4.37,402369,Man’s Search for Meaning - Viktor E. Frankl
261,American Gods,Neil Gaiman,936252,4.11,400286,American Gods - Neil Gaiman
262,American Gods,Neil Gaiman,936003,4.11,400199,American Gods - Neil Gaiman
263,Les Misérables,Victor Hugo,800123,4.20,398449,Les Misérables - Victor Hugo
264,Jurassic Park,Michael Crichton,962490,4.10,398193,Jurassic Park - Michael Crichton
265,Jurassic Park,Michael Crichton,962285,4.10,398081,Jurassic Park - Michael Crichton
266,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,1131015,3.89,396505,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life - Mark Manson
267,City of Ashes,Cassandra Clare,937612,4.11,396165,City of Ashes - Cassandra Clare
268,A Walk to Remember,Nicholas Sparks,806863,4.20,393027,A Walk to Remember - Nicholas Sparks
269,A Walk to Remember,Nicholas Sparks,806744,4.20,392975,A Walk to Remember - Nicholas Sparks
270,The Night Circus,Erin Morgenstern,981088,4.02,391933,The Night Circus - Erin Morgenstern
271,Red Queen,Victoria Aveyard,1018582,4.00,391638,Red Queen - Victoria Aveyard
272,When Breath Becomes Air,Paul Kalanithi,674985,4.40,387283,When Breath Becomes Air - Paul Kalanithi
