,book_title,author,num_ratings,average_rating
247,Heatwave and Crazy Birds,Gabriela Avigur-Rotem,48,4.0
248,"Hard Up, Ardon #1",J.G. Perrin,50,4.0
249,The Coherence of Theism,Richard Swinburne,89,3.99
250,Part of Our Time: Some Ruins & Monuments of the Thirties,Murray Kempton,83,3.99
251,"Shaman Warrior, Vol. 6",Park Joong-Ki,73,3.99
252,ചങ്ങമ്പുഴ കൃഷ്ണപിള്ള: നക്ഷത്രങ്ങളുടെ സ്‌നേഹഭാജനം | Changampuzha Krishnapilla: Nakshathrangalude Snehabhajanam,M.K. Sanu,89,3.99
253,I Dream of Yellow Kites: What if it was all just a nightmare?,Retta Bono,76,3.99
254,O Avesso Das Coisas,Carlos Drummond de Andrade,64,3.98
255,Blue Horse Dreaming,Melanie Wallace,99,3.98
256,Echo of a Curse,R.R. Ryan,41,3.98
257,If Shadows Could Tell: an Aurora Steller mystery novel,Granthana Sinha,94,3.98
258,The Captive,Robert Stallman,61,3.97
259,Amaranth,John  Kellett,59,3.97
260,Le Hussard sur le toit de Jean Giono (Lire aujourd'hui),Francis Lafon,84,3.96
261,The Eyes of the Beast,Steve    Harris,95,3.96
262,Pieces of a Rainbow,Maria Savva,47,3.96
263,Lesson II,Julie Mannino,54,3.96
264,Escher's Loops,Zoran Živković,74,3.95
265,Tom Sutton's Creepy Things,Tom Sutton,42,3.95
266,Tim & Tom: An American Comedy in Black and White,Tim  Reid,71,3.94
267,A Whisper of Wings,Paul Kidd,57,3.93
268,A Firefighter in the Family,Trish Milburn,80,3.93
269,And the Tide Turns,Timothy  Dalton,54,3.93
270,Discontents: New Queer Writers,Dennis Cooper,37,3.92
271,Late at Night,William Schoell,72,3.92
272,Sex-Pol: Essays 1929-1934,Wilhelm Reich,56,3.91
273,Broken Point,Donna K. Childree,80,3.91
274,Forty Fathom Bank,Les Galloway,41,3.9
275,The Pocket Guide to Mischief,Bart King,99,3.9
276,The Hunt in the Forest,John Burnside,59,3.9
277,Liliana,Neva Squires-Rodriguez,83,3.9
278,Colonization,Scott McElhaney,62,3.9
279,Six Gothic Dramas (De Monfort / Orra / The Dream / The Family Legend / The Panthom / Whitchcraft,Various,37,3.89
280,The Widow of Ratchets,Owen Brookes,36,3.89
281,Moment,Lisa Terry,36,3.89
282,Melville: A Biography,Laurie Robertson-Lorant,42,3.88
283,The Alliance,Chris G. Wright,57,3.88
284,Making Contact With the Other Side: How to Enhance Your Own Psychic Powers,Sylvia Browne,31,3.87
285,My Life,Oswald Mosley,89,3.87
286,King of Spades,Frederick Manfred,42,3.86
287,Riders of Judgment,Frederick Manfred,42,3.86
288,Heathcliff At Home,George Gately,36,3.86
289,Evil in a Mask,Dennis Wheatley,73,3.86
290,Starved for Science: How Biotechnology Is Being Kept Out of Africa,Robert Paarlberg,86,3.86
291,Santa's Angels,Janet Kaderli,88,3.86
292,9/11 Contradictions: An Open Letter to Congress and the Press,David Ray Griffin,61,3.85
293,"Continuous Cables: An Exploration of Knitted Cabled Knots, Rings, Swirls, and Curlicues",Melissa Leapman,94,3.85
294,21 Distinctions of Wealth: Attract the Abundance You Deserve,Peggy McColl,53,3.85
295,Must a Jew Believe Anything?,Menachem Marc Kellner,49,3.84
296,Individuals: An Essay in Descriptive Metaphysics,Peter Frederick Strawson,73,3.84
297,Sense of Place and Sense of Planet: The Environmental Imagination of the Global,Ursula K. Heise,69,3.84
298,The Dead Writer,Núria Añó,55,3.84
299,"Protecting America's Health: The FDA, Business, and One Hundred Years of Regulation",Philip J. Hilts,84,3.83
300,A Choice of Kipling's Verse,T.S. Eliot,58,3.83
301,The Gold Warrior,Clare London,66,3.83
302,كيف نكتب التاريخ الإسلامي,محمد قطب,94,3.83
303,Exiles: A Memoir,Michael J. Arlen,88,3.83
304,"Edges: O Israel, O Palestine",Leora Skolkin-Smith,73,3.82
305,Scooby-doo On Zombie Island,Gail  Herman,84,3.82
306,Frontal Assault,Keith Douglass,57,3.82
307,Elementary Differential Equations with Boundary Value Problems,Charles Henry Edwards,51,3.82
308,Kecksies and Other Twilight Tales,Marjorie Bowen,57,3.82
309,"Who Would Jesus Kill?: War, Peace, and the Christian Tradition",Mark J. Allman,44,3.82
310,"Hillbilly Tales from the Smoky Mountains - And Other Homespun Remedies, Proverbs, and Poetry",Patricia H. Graham,56,3.82
311,The Koalemos Initiative,P.H. Wilson,45,3.82
312,The Kitten and His Prince,Julie Mannino,78,3.81
313,Representation and Reality,Hilary Putnam,97,3.8
314,The Best Ghost Stories of H. Russell Wakefield,H. Russell Wakefield,59,3.8
315,Herodotus 7-9,Herodotus,99,3.8
316,Le Cycle d'Elric,Michael Moorcock,47,3.79
317,A Time to Tell,Maria Savva,67,3.79
318,The Revenants,Geoffrey Farrington,88,3.78
319,Between Earth and Sky: Our Intimate Connections to Trees,Nalini Moreshwar Nadkarni,87,3.78
320,Confidential Communications,J.R. Reardon,84,3.77
321,Honey Paw and Lightfoot,Jonathan London,51,3.76
322,A Thousand Veils,D.J. Murphy,76,3.76
323,Sin is not a Four Letter Word,Aliyah Burke,84,3.76
324,Easter Bunny,Roger Priddy,76,3.76
325,Edward Or Jacob? Quick Quizzes For Fans Of The Twilight Saga,Riley Brooks,49,3.76
326,The Millennial Reincarnations,Daniel M.  Harrison,41,3.76
327,Unapologetic Theology: A Christian Voice in a Pluralistic Conversation,William C. Placher,56,3.75
328,MILEY CYRUS: This Is Her Life,Brittany Kent,56,3.75
329,"What the Koran Really Says: Language, Text, and Commentary",Ibn Warraq,76,3.74
330,Evening Clouds,Junzo Shono,53,3.74
331,Heartbreak House & Misalliance,George Bernard Shaw,31,3.74
332,High Wire: The Precarious Financial Lives of American Families,Peter Gosselin,42,3.74
333,Just Perfect,Hanne Arts,69,3.74
334,Lesson,Julie Mannino,62,3.74
335,"Becoming Drusilla: One Life, Two Friends, Three Genders",Richard Beard,74,3.73
336,First Contact,James   Jackson,74,3.73
337,Phaedra: A Novel of Ancient Athens,June Rachuy Brindel,39,3.72
338,Kangaroo,Yuz Aleshkovsky,82,3.72
339,Turning Idolater,Edward C. Patterson,76,3.72
340,User,Bruce Benderson,93,3.71
341,The Supernatural Omnibus- Being A Collection of Stories,Montague Summers,73,3.71
342,"And Afterward, the Dark: Seven Tales",Basil Copper,56,3.71
343,"Love, Otto: The Legacy of Anne Frank",Cara Wilson,38,3.71
